timestamp,participant_id,medium,input_method,prompt_text,reply_text,llm_reply_text,final_text,prompt_formality_label,prompt_formality_confidence,reply_formality_label,reply_formality_confidence,llm_reply_formality_label,llm_reply_formality_confidence,final_formality_label,final_formality_confidence,response_time_seconds,keypress_count,backspace_count,paste_used,correction_applied,prompt_style,prompt_tone,prompt_seriousness,notes
2026-04-24T09:42:23,P002,SMS,Keyboard,Hi! Can you help me with something today?,Ofcourse I can,Of course! What do you need help with today?,I simply want a burger for lunch.,LABEL_1,0.9779807329177856,LABEL_0,0.9969077706336975,LABEL_1,0.9878731966018677,LABEL_1,0.9494647979736328,23.919,43,3,no,no,informal,friendly,medium,
2026-04-24T09:56:43,PTEST001,SMS,Keyboard,Can you quickly review this plan before 5?,Ofcourse I can,Certainly! I will review the plan before 5. Let me know if there are any specific areas you would like me to focus on.,I simply want a burger for lunch.,LABEL_1,0.867525577545166,LABEL_0,0.9969077706336975,LABEL_1,0.9970679879188538,LABEL_1,0.9494647979736328,8.0,14,1,no,no,neutral,friendly,medium,
2026-04-24T11:01:30,PTEST001,SMS,Keyboard,Can you quickly review this plan before 5?,Ofcourse I can,Certainly! I will review the plan before 5. Thank you for sharing it with me.,I simply want a burger for lunch.,LABEL_1,0.867525577545166,LABEL_0,0.9969077706336975,LABEL_1,0.9951303005218506,LABEL_1,0.9494647979736328,8.0,14,1,no,no,neutral,friendly,medium,
2026-05-20T11:54:34,P003,Email,Typing,"From: advisor@example.com
Subject: Work environment

What type of environment helps you focus or work most effectively?",Quite and undisturbed,Thank you for sharing your preference. A quiet and undisturbed environment can be very beneficial for productivity.,Indeed,,0.0,,0.0,,0.0,,0.0,68.91819999999554,7,0,no,no,,,,
2026-05-20T11:56:55,P003,Messenger,Typing,"So like, what's your favorite way of making the weekends pass?",BEER,Thanks for sharing! Enjoy responsibly.,Always,,0.0,,0.0,,0.0,,0.0,7.3972000000029805,10,1,no,no,,,,
2026-05-20T12:00:51,P003,Email,Swipe typing,"From: friend@example.com
Subject: Useful random skill

What's some random thing you know how to do that actually comes in handy",I have no skill,Thank you for letting me know. Have a great day!,Surely,,0.0,,0.0,,0.0,,0.0,103.22320000000298,1,0,no,no,,,,
2026-05-20T12:03:47,P003,Email,Typing,"From: friend@example.com
Subject: Apps you use most

What kinda of apps do you spend the most time on like texting?","Overall? Spotify, texting? Discord","Thanks for sharing, I appreciate it. Have a great day!",Thank you :(,,0.0,,0.0,,0.0,,0.0,109.28889999999106,10,0,no,no,,,,
2026-05-20T12:05:51,P003,Messenger,Swipe typing,What's something people seem to enjoy that you just don't really get?,Soccer,Thank you for sharing. It's interesting how preferences can vary.,Truely,,0.0,,0.0,,0.0,,0.0,15.30539999999106,1,0,no,no,,,,
2026-05-20T12:07:00,P003,Messenger,Typing,What’s something you’ve always wanted to try but never got around to?,Learning piano,Thank you for sharing. Learning piano is a wonderful goal. Good luck with your musical endeavors!,Thanks?,,0.0,,0.0,,0.0,,0.0,13.18759999999404,11,2,no,no,,,,
2026-05-20T13:32:18,P004,Email,Typing,"From: someone@example.com
Subject: Future travel plans

What is a place you would like to visit in the future, and what attracts you to it?",I'd like to visit Amsterdam in the future as it seems like a genuinely interesting city to me.,Thank you for sharing your interest in visiting Amsterdam. It's a wonderful choice with its rich history and vibrant culture.,I agree. Thanks for chatting.,,0.0,,0.0,,0.0,,0.0,112.472,37,3,no,no,,,,
2026-05-20T13:34:40,P004,Messenger,Typing,What role do routines play in your daily life?,They help me be more productive,Thanks for sharing. Routines can definitely boost productivity.,No problem,,0.0,,0.0,,0.0,,0.0,14.276,16,2,no,no,,,,
2026-05-20T13:38:15,P005,Email,Typing,"From: friend@example.com
Subject: Making people laugh

Hey! I was wondering you had any tips on how to get som laughs out of people",I think using contextual chia for making jokes is very helpful,Thank you for the suggestion! Contextual chia can indeed add a lot of humor to jokes.,I mest cues but that was a funny answer as well,,0.0,,0.0,,0.0,,0.0,87.13270000004768,26,5,no,no,,,,
2026-05-20T13:40:01,P005,Messenger,Typing,What do you usually end up doing when you’ve got nothing going on?,I usually trend towards either reading or listening to music when there is nothing else to do,Thank you for sharing. Reading and listening to music are great ways to unwind and relax.,Yes. Great that we agree,,0.0,,0.0,,0.0,,0.0,17.950799999952316,7,0,no,no,,,,
